year,Private.Equity,Real.Estate,Hedge.Funds,Commodities,Other.Alternatives,Total.Public.Equity,Fixed.Income,Cash.Equivalents,total
2001,0.0799,0.0025,0,0,0,0.4939,0.3882,0.0353,0.9998
2002,0.0357,0.0027,0,0,0,0.5291,0.4051,0.0255,0.9981
2003,0.0562,0.0027,0,0,0,0.5716,0.3415,0.028,1
2004,0.0427,0.0028,0,0,0,0.6314,0.2892,0.0339,1
2005,0.0466,0.0026,0,0,0,0.6293,0.3035,0.018,1
2006,0.0579,0.0068,0,0,0,0.6315,0.2778,0.026,1
2007,0.077,0.0194,0,0,0,0.6241,0.2504,0.0269,0.9978
2008,0.0981,0.0429,0,0,0,0.5791,0.2656,0.0109,0.9966
2009,0.1133,0.0487,0,0,0,0.5238,0.3013,0.0091,0.9962
2010,0.1304,0.0541,0,0,0,0.5045,0.2901,0.0172,0.9963
2011,0.1232,0.0652,0,0,0,0.5501,0.2464,0.0148,0.9997
2012,0.1309,0.0805,0,0,0,0.5309,0.2489,0.0086,0.9998
2013,0.1251,0.0916,0,0,0,0.549,0.2214,0.0126,0.9997
2014,0.1051,0.0865,0,0,0,0.5701,0.217,0.021,0.9997
2015,0.107,0.0883,0,0,0,0.5634,0.2234,0.0177,0.9998
2016,0.1115,0.0924,0,0,0,0.5317,0.2361,0.0283,1
2017,0.1249,0.0756,0,0,0,0.5259,0.2736,0,1
2018,0.1319,0.0701,0,0,0,0.5291,0.2689,0,1
2019,0.1487,0.075,0,0,0,0.4611,0.2857,0.0295,1
2020,0.1309,0.0857,0,0.0307,0,0.4816,0.2551,0.016,1
2021,0.1474,0.0931,0,0.0448,0,0.4827,0.2069,0.0251,1