Year,Net Amo,Remaining UAL
2004,0,466798
2005,11991.76,528996.24
2006,4848.48,455380.52
2007,16011.04,360005.96
2008,18257.84,421178.16
2009,26761.74176,763845.2582
2010,57197.85684,1294731.143
2011,140044.2061,1469620.794
2012,237648.3588,1606712.641
2013,342489.9782,678540.0218
2014,338742.9763,1242956.243
2015,374874.1496,1168913.219
2016,387903.4435,1152334.556
2017,409653.9581,1654704.235
2018,451937.3522,1572910.998
2019,481620.9837,1572225.865
2020,504544.9505,1630059.87
2021,516215.2346,1503437.146